,origin,Common Name,scientific_name,Poisonous_for_pets,Toxic Cats,Toxic Dogs
48,"Australia, Indonesia, China, Japan, India",Golden pothos or Devils ivy,  Epipremnum aureum,"Toxic to cats, dogs and horses.",Yes,Yes
49,South-eastern Asia,"Green Velvet Alocasia, Alocasia Frydek", Alocasia Micholitziana 'Frydek',Toxic for cats and dogs.,Yes,Yes
50,"South-eastern Asia, Oceania","Hawaiian ti, good luck, baby doll ti and others","  Cordyline fruticosa , [syn] C terminalis",Toxic to cats and dogs.,Yes,Yes
51,South America,"Heart of Jesus, angel wings, elephant ear, fancy leafed caladium", Caladium bicolor or Caladium hortulanum and others,Toxic to cats and dogs.,Yes,Yes
52,Australia,"Kentia, paradise, thatch", Howea forsteriana,Non-toxic to cats and dogs.,no,no
53,Africa,Lucky Bamboo,"  Dracaena Braunii, or Dracaena Sanderiana",Not known.,Unknown,Unknown
54,Madagascar,Dragon Tree, Dracaena marginata,Toxic to cats and dogs.,Yes,Yes
55,South America,Delta Maidenhair Nest Fern,  Adiantum Raddianum,Not known.,Unknown,Unknown
56,"South America, Central America","Mexican fortune tree, money tree plant and others",  Pachira Aquatica,Non-toxic to cats and dogs.,no,no
57,Mexico,"Parlor, Parlour palm", Chamaedorea elegans,Non-toxic to cats and dogs.,no,no
58,South-eastern Asia,"Pygmy date, Miniature date palm", Phoenix roebelenii,Non-toxic to cats and dogs.,no,no
59,Fiji,Rabbit's Foot Fern, Davallia Fejeensis,"Non toxic for cats, dogs and horses.",no,no
60,Brazil,Rattlesnake Plant, Calathea Lancifolia and C Insignis,Non-toxic to cats and dogs.,no,no
61,Brazil ,Rose Painted Calathea, Calathea Roseopicta,Non-toxic to cats and dogs.,no,no
62,"India, Nepal, Myanmar, China, Malaysia","Rubber plant or tree, rubber bush", Ficus elastica,Toxic to cats and dogs.,Yes,Yes
63,Asia,Sago Palm, Cycas Revoluta,Toxic to cats and dogs (see article).,Yes,Yes
64,Australia,"Sentry, belmore sentry, and curly palm", Howea belmoreana,Non-toxic to cats and dogs.,no,no
65,Madagascar,"Song of India, Pleomele", Dracaena Reflexa,Toxic to cats and dogs.,Yes,Yes
66,Southern Africa,Spider or airplane, Chlorophytum comosum vittatum and variegatum,Non-toxic to cats and dogs.,no,no
67,"Mexico, Central America, Columbia",Swiss cheese or just cheese plant,  Monstera Deliciosa,Non-toxic to cats and dogs.,no,no
68,China,"Umbrella Plant, Queensland Umbrella Tree, Octupus Tree, Gold Capella"," Schefflera Arboricolum, Syn Heptapleurum Arboricolum",Toxic to cats and dogs.,Yes,Yes
69,United States of America,Venus fly trap,  Dionaea Muscipula,Non-toxic to cats and dogs.,no,no
70,South America,"Wandering Jew, Flowering Inch Plant"," Tradescantia Zebrina, Tradescantia Fluminensis [Syn T Albiflora] ",Non-toxic to cats and toxic to dogs.,no,no
71,"South-eastern Asia, Australia",Weeping Fig, Ficus Benjamina,Toxic to cats and dogs.,Yes,Yes
72,Brazil,Zebra plant, Aphelandra squarrosa,Non-toxic to cats and dogs.,no,no
73,Mexico,Zebra plant, Calathea zebrina,Non-toxic to cats and dogs.,no,no
74,Africa,ZZ plant, Zamioculcas zamiifolia,Toxic to cats and dogs.,Yes,Yes
75,Northern Africa,"Aloe V, Medicine Plant, True Aloe, Burn Plant,","  Aloe V, Aloe barbadensis",Toxic for cats and dogs.,Yes,Yes
76,Africa,Not known, Argyroderma testiculare,"Not known, but it's unlikely a pet will chew on this type of foliage, although they could be curious and might want to plan with them..",Unknown,Unknown
77,South America,"Baby rubber plant, American rubber plant, Pepper face plant", Peperomia obtusifolia,Non-toxic to cats and dogs.,no,no
78,Mexico,Bunny ear and polka-dot cactus, Opuntia Microdasys,"The fruit and flowers are non-toxic to pets, but the glochids are moderately irritating to the skin.",Yes,Yes
79,South America,"Century plant, Agave cactus, Maguey, American aloe", Agave americana,Toxic for cats and dogs.,Yes,Yes
80,Brazil,Christmas and holiday cactus," Schlumbergera Bridgesii, S × buckleyi",Non-Toxic to cats and dogs.,no,no
81,Mexico,"Christmas cheer, Pork and beans", Sedum rubrotinctum,Mildly toxic for cats and dogs.,Yes,Yes
82,Africa,Coral cactus, Eurphorbia lactea crest,Toxic to cats and dogs (see description).,Yes,Yes
83,Mexico,Donkey's and Burros Tail, Sedum Morganianum,Non-toxic to cats and dogs.,no,no
84,Brazil,Easter or holiday cactus, Hatiora Gaertneri,Non-Toxic to cats and dogs.,no,no
85,Western Sahara,"Housetree Leek, Black Rose Tree", Aeonium Arboreum - var Atropurpureum and Zwartkop/Schwarzkopf,Not known.,Unknown,Unknown
86,Madagascar,Flaming katy,  Kalanchoe blossfeldiana,Toxic to cats and dogs.,Yes,Yes
87,Mexico,Goat's horn cactus, Astrophytum Capricorne,Not known.,Unknown,Unknown
88,Mexico,"Golden barrel cactus , golden ball cactus, mother-in-law's cushion",  Echinocactus Grusonii,Not known.,Unknown,Unknown
89,Southern Africa,"Jade, money , lucky, friendship"," Crassula Ovata, Cportulacea, Cargentea",Toxic to cats and dogs.,Yes,Yes
90,Mexico,"Jelly beans, Many fingers", Sedum pachyphyllum,Mildly toxic for cats and dogs.,Yes,Yes
91,Western Africa,Mother in law's tongue and snake plant, Sansevieria trifasciata,Toxic to cats and dogs.,Yes,Yes
92,Mexico,Orchid Cactus, Disocactus Ackermannii,Not known.,Unknown,Unknown
93,Madagascar,Panda plant or pussy ears, Kalanchoe tomentosa,Toxic to cats and dogs.,Yes,Yes
94,South America,Parallel peperomia, Peperomia puteolata,Non-toxic to cats and dogs.,no,no
95,South America,Peruvian apple, Cereus peruvianus,Not known.,Unknown,Unknown
96,South America,"Pincusion Peperomia, Bean Plant", Peperomia ferreyrae,Non-toxic to cats and dogs.,no,no
97,Mexico,Rat's Tail, Aporocactus Flagelliformis or Disocactus flagelliformis,Not known.,Unknown,Unknown
98,Southern Africa,Tiger Jaws, Faucaria Tigrina,Not known.,Unknown,Unknown
99,South America,"Trailing jade, round leaf Peperomia", Peperomia rotundifolia,Non-toxic to cats and dogs.,no,no
100,Africa,Truncate living stone, Lithops pseudotruncatella,"Not known, but it's unlikely a pet will chew on this type of foliage, although they could be curious.",Unknown,Unknown
101,Southern Africa,Zebra Haworthia or Zebra Cactus, Haworthia Fasciata and Attenuata,Non-toxic to cats and dogs.,no,no
