,origin,Common Name,scientific_name,Max_Growth,Poisonous_for_pets,big_image_url,temperature,max_plant_price,min_plant_price,average_plant_price,origin_country_list
19,"South America, Central America",Lollipop and golden shrimp plant, Pachystachys Lutea,"Height 1 - 2ft indoors, outdoors 4ft. Spread 2 - 3ft.",Not known.,https://www.houseplantsexpert.com/image-files/pachystachys-lutea-flowers.jpg,"Average room temperatures of around 65f / 16c --- 75f are ideal, and no lower that 55f 12.7c, during winter. You can allow the plant some time outdoors during summer, not in direct sun.",13.99,2.89,6.85,"Argentina, Bolivia, Bouvet Island, Brazil, Chile, Colombia, Ecuador, Falkland Islands (Malvinas), French Guiana, Guyana, Paraguay, Peru, South Georgia and the South Sandwich Islands, Suriname, Uruguay, Venezuela, Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama"
20,Madagascar,Madagascar Jasmine - Wax Flower,  Stephanotis Floribunda,10ft tall and more.,Non-toxic to cats and dogs.,https://www.houseplantsexpert.com/assets/images/madagascar_jasmine.jpg,Temperatures from 65 - 80F (18 - 26C) are ideal during spring and summer. Try around 55 - 60F (13 - 15C) for a month or two during winter (before spring) but no lower than 45F (7C) which may encourage blooms for late spring - summer.,68.88,6.98,24.84,Madagascar
21,"Central America, Mexico",Medusa Plant,  Tillandsia Caput Medusae,Height 6in (15cm). ,Not known..,https://www.houseplantsexpert.com/image-files/medusas-head-plant.jpg,"Average to high temperatures help the Caput Medusae to flower, from 65 - 86F (18- 30 C). Keep the minimum no lower than 55F (12C) indoors or outside. ",32.0,2.95,10.87,"Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, Mexico"
22,South America,Christmas and ornamental pepper plant,  Capiscum annuum,1½ ft tall.,Toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/ornamental_pepper_close_up.jpg,"Cool temperatures from 55F/13C - 65F/18C are ideal during the night and 70F/21C - 80F/26C, during the day. Avoid lower than 55F/13C.",11.99,2.99,4.51,"Argentina, Bolivia, Bouvet Island, Brazil, Chile, Colombia, Ecuador, Falkland Islands (Malvinas), French Guiana, Guyana, Paraguay, Peru, South Georgia and the South Sandwich Islands, Suriname, Uruguay, Venezuela"
23,"Central America, Mexico","Poinsettia,", Euphorbia Pulcherrima,"Height 18"" (45cm).",Toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/Poinsettia-bract.jpg,Average temperatures from 65 - 75F (18 - 24C) and no less than 55F (13C) are fine during the flowering season. Follow the guidelines above on re-flowering after March.,110.49,5.99,26.83,"Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, Mexico"
24,South America,"Queens tears, friendship plant", Billbergia nutans,Height 18 in/45 cm.,Non-toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/queens_tears_flower_head.jpg,"This plant is picky about the temperature that it likes to live at. Depending on the season,
your plant will demand different temperatures in order to maintain its health. In the summer,
offer the plant a spot that is 65-80ºF (18-27ºC). In the fall, winter, and cooler spring months,
the plant needs a 60-75ºF (16-24ºC) temperature. During the coldest winter, occasional periods can be
withstood up to 40ºF (4ºC), but extended exposure will affect the coming year's bloom.",25.0,9.88,18.29,"Argentina, Bolivia, Bouvet Island, Brazil, Chile, Colombia, Ecuador, Falkland Islands (Malvinas), French Guiana, Guyana, Paraguay, Peru, South Georgia and the South Sandwich Islands, Suriname, Uruguay, Venezuela"
25,China,"Rose of China, Chinese hibiscus, Shoe flower", Hibiscus Rosa-Sinensis,Height 18 ft - Leaves 3 in long - Flowers 4-5 inches.,Toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/rose-of-china-flower.jpg,Minimum temperature should be no lower than 55F (10C). Ideal is approximately 60 - 75F (15 - 24C).,64.99,2.3,21.03,China
26,"South America, Central America",Scarlet star, Guzmania lingulata,Height 18 in/45 cm.,"Non toxic for cats, dogs",https://www.houseplantsexpert.com/image-files/scarlet-star-bromeliad.jpg,"The Scarlet Star prefers an average temperature of 65-80F (18-27C). When kept in this temperature, the plant will continue to grow all year long.",35.0,14.99,21.89,"Argentina, Bolivia, Bouvet Island, Brazil, Chile, Colombia, Ecuador, Falkland Islands (Malvinas), French Guiana, Guyana, Paraguay, Peru, South Georgia and the South Sandwich Islands, Suriname, Uruguay, Venezuela, Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama"
27,South-eastern Asia,"The one colored paphiopedilum, lady's slipper", P concolor,"Height 6"" max.",Not confirmed.,https://www.houseplantsexpert.com/image-files/the-one-colored-paphiopedilum.jpg,"In their native countries the one colored paphiopedilum thrives in quite humid conditions which makes temperatures between 70-80F (21-27C) ideal without direct sun light. Temperatures will naturally drop during the night (and in winter), but do not allow them to drop lower than 50F (10C). Try and keep your plant away from cold drafts. In some climates it's fine to give your paphiopedilum time outside, although in more northern territories I would advise against this because of the extreme changes in temperatures and rainfall (which can be fairly cold).",34.9,1.5,13.21,"Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Philippines, Singapore, Thailand, East Timor, Vietnam"
28,Brazil,Urn and pink or silver vase plant, Aechmea Fasciata,"Height 18 in/45.7 cm, diameter 26 in/66 cm.",Non-toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/Aechmea-Fasciata.jpg,Average room temperatures between 65F (18.3C) - 75F (24C) are suitable and maintain temperatures around the 75F (24C) mark to bring flowers in to bloom.,40.0,22.0,27.7,Brazil
29,"Peru, Ecuador",Winter cherry, Solanum capsicastrum,Height 24 in (60 cm).,Toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/solanum-capiscastrum-leaves.png,The winter cherry prefers cool temperatures of approximately 60-70F (15-21C) and 50-60F (10-15C) during winter. Avoid placing the plant near cold drafts.,22.0,3.35,10.51,"Peru, Ecuador"
30,Northern Africa,Aluminum Plant, Pilea Cadierei,Height 1 - 2 ft .,Toxic for cats and dogs.,https://www.houseplantsexpert.com/image-files/aluminum_plant.jpg,"Pilea cadierei requires a year-round temperature between 60-75 ºF (15-23 ºC). It can tolerate short periods of time outside of this temperature range, but continued exposure will kill the plant.",18.99,4.95,11.79,"Algeria, Egypt, Libya, Morocco, Sudan, Tunisia, Western Sahara"
31,Madagascar,"Areca, butterfly, or cane palm", Dypsis lutescens [syn] Chrysalidocarpus or areca lutescens,Height 8ft.,Non toxic for cats and dogs.,https://www.houseplantsexpert.com/images/areca_palm22.jpg,"Average room temperatures of 65F (16C) --- 75F (24C) are suitable and no lower than 55F (12.7C).
Sudden cold temperature drops and cold drafts can cause the leaves to display brown spots.",195.0,4.99,46.65,Madagascar
32,South America,"Arrowhead Plant or Arrowhead Vine, Goosefoot Plant"," Syngonium Podophyllum, also named Nephthytis Podophyllum",Height 6ft indoors (much higher outdoors when climbing). ,Toxic to cats and dogs.,https://www.houseplantsexpert.com/assets/images/arrowhead_plant.jpg, Temperatures of at least 60-85 ºF (15-29 ºC) need to be maintained year round. This species may cope with 50 ºF (10 ºC). Anything lower can kill off your plant.,69.99,7.99,32.66,"Argentina, Bolivia, Bouvet Island, Brazil, Chile, Colombia, Ecuador, Falkland Islands (Malvinas), French Guiana, Guyana, Paraguay, Peru, South Georgia and the South Sandwich Islands, Suriname, Uruguay, Venezuela"
33,"South-eastern Asia, Australia",Bird's Nest Fern,  Asplenium Nidus,Height 2ft.,"Non toxic for cats, dogs",https://www.houseplantsexpert.com/assets/images/asplenium_nidus_attached_to_tree_1.jpg,"Room temperatures between 65-75ºF (18-24ºC) are ideal, and no lower than 55ºF (13ºC).",49.99,6.99,18.58,"Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Philippines, Singapore, Thailand, East Timor, Vietnam, Australia"
34,United States of America,Boston Fern,  Nephrolepis Exaltata 'Bostoniensis',"Fronds, length and height approx 3ft max. ","Non toxic for cats, dogs",https://www.houseplantsexpert.com/assets/images/boston_ferns_in_hanging_baskets_1.jpg,The ideal room temperatures for Boston ferns is between 60-75ºF (16-24ºC). No lower than 55ºF (13ºC). Avoid warm air from indoor heating and cold drafts.,49.97,3.75,15.25,United States of America
35,China,Broadleaf lady or little lady palm, Rhapis excelsa,Height 14 feet (4 meters). Must be pruned to keep the tree at a manageable size indoors.,"Non toxic for cats, dogs",https://www.houseplantsexpert.com/image-files/broadleaf_lady_palm1.jpg,"It is almost impossible to upset the temperature of the Broadleaf Lady Palm. It will happily tolerate temperatures from 20-100F (-6-37C), and can survive short stays outside of this temperature zone.",70.0,16.16,38.86,China
36,Western Sahara,Canary Island Date Palm, Phoenix Canariensis,Height 6ft indoors.,"Non toxic for cats, dogs",https://www.houseplantsexpert.com/images/canary.jpg,"Happily tolerate temperatures from 20-100F (-6-37C), and can survive short stays outside of this temperature zone.",60.0,3.5,21.18,Western Sahara
37,"Japan, China",Cast iron plant, Aspidistra elatior,Height 36 in (91 cm).,Non-toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/cast-iron-plant.jpg,Average warmth is fine of approximately 60-75F (15-24C) and no lower than 45F (8C). They will tolerate much lower temperatures.,104.99,18.99,46.46,"Japan, China"
38,"South-eastern Asia, Oceania",Chinese evergreen,"  A commutatum, A modestum, A pictum and others",Height 3ft. ,"Toxic to cats, dogs and horses.",https://www.houseplantsexpert.com/image-files/chinese_evergreen1.png,Temperatures between 65-80 ºF (18-27 ºC) are ideal. Lower than 60ºF (15ºC) is not healthy for this plant and can cause dark patches on the leaves. If the leaves begin to curl and the edges turn brown the temperature is probably too low or cold drafts may be affecting the plant.,NaN,NaN,NaN,"Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Philippines, Singapore, Thailand, East Timor, Vietnam, American Samoa, Australia, Christmas Island, Cocos (Keeling) Islands, Cook Islands, Fiji, French Polynesia, Guam, Heard Island and McDonald Islands, Kiribati, Marshall Islands, Federated States of Micronesia, Nauru, New Caledonia, New Zealand, Niue, Norfolk Island, Northern Mariana Islands, Palau, Papua New Guinea, Pitcairn Islands, Samoa, Solomon Islands, Tokelau, Tonga, Tuvalu, United States Minor Outlying Islands, Vanuatu, Wallis and Futuna"
39,Oceania,"Coral bead, pin cushion plant", Nertera granadensis,"Height 5 in/13 cm, diameter depends on pot size and plant maturity.",Toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/coral-bead-plant.jpg,"Nertera granadensis prefers temperatures on the cooler side. The plant should remain at 55-65ºF (13-18ºC) all year round. Occasional temperature spikes as high as 80ºF (26ºC) and low as 40ºF (4ºC) are tolerated, but must be remedied within a week for the plant's health. Temperatures above 65ºF (18ºC) during flowering will result in no berries produced during that season.",NaN,NaN,NaN,"American Samoa, Australia, Christmas Island, Cocos (Keeling) Islands, Cook Islands, Fiji, French Polynesia, Guam, Heard Island and McDonald Islands, Kiribati, Marshall Islands, Federated States of Micronesia, Nauru, New Caledonia, New Zealand, Niue, Norfolk Island, Northern Mariana Islands, Palau, Papua New Guinea, Pitcairn Islands, Samoa, Solomon Islands, Tokelau, Tonga, Tuvalu, United States Minor Outlying Islands, Vanuatu, Wallis and Futuna"
40,Africa,Corn or cornstalk plant,  Dracaena fragrans,Height 6ft and more indoors. ,Toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/dracaena_fragrans.jpg,"Temperatures from 60F (15C) - 75F (24C) are ideal. Under 55F/12C is going to harm the plant which may become noticeable if the leaves begin curling. Try and avoid the plant being near cold drafts, which will also cause harm.",84.99,15.99,36.12,"Algeria, Angola, Benin, Botswana, British Indian Ocean Territory, Burkina Faso, Burundi, Cape Verde, Cameroon, Central African Republic, Chad, Comoros, Congo, Ivory Coast, Democratic Republic of the Congo, Djibouti, Egypt, Equatorial Guinea, Eritrea, Eswatini, Ethiopia, French Southern Territories, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Lesotho, Liberia, Libya, Madagascar, Malawi, Mali, Mauritania, Mauritius, Mayotte, Morocco, Mozambique, Namibia, Niger, Nigeria, Réunion, Rwanda, Saint Helena, Sao Tome and Principe, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, South Sudan, Sudan, Togo, Tunisia, Uganda, United Republic of Tanzania, Western Sahara, Zambia, Zimbabwe"
41,Eastern Asia,Creeping or climbing fig,"  Ficus pumila, [syn] ficus repens",No maximum spread and only a few inches high. ,Toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/creeping_fig.jpg,The pumila is a tough plant and grows well in temperatures from 55 - 75F (13 - 24C (can be higher or lower and survive). ,251.38,6.99,46.83,"China, Hong Kong S.A.R, Macao S.A.R, North Korea, Japan, Mongolia, South Korea"
42,"Europe, Asia, Africa",Cretan Brake Fern,  Pteris Cretica,Height 1 - 2.5ft. ,Not known.,https://www.houseplantsexpert.com/images/cretan_brake.jpg,The ideal temperature to provide is between 65-75ºF (18-24ºC) for this plant. The minimum is 55ºF (13ºC).,19.99,10.0,14.44,"Åland Islands, Albania, Andorra, Austria, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Czechia, Denmark, Estonia, Faroe Islands, Finland, France, Germany, Gibraltar, Greece, Guernsey, Holy See, Hungary, Iceland, Ireland, Isle of Man, Italy, Jersey, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Monaco, Montenegro, Netherlands, Macedonia, Norway, Poland, Portugal, Moldova, Romania, Russian Federation, San Marino, Sark, Republic of Serbia, Slovakia, Slovenia, Spain, Svalbard and Jan Mayen Islands, Sweden, Switzerland, Ukraine, United Kingdom of Great Britain and Northern Ireland, Afghanistan, Armenia, Azerbaijan, Bahrain, Bangladesh, Bhutan, Brunei, Cambodia, China, Hong Kong S.A.R, Macao S.A.R, Cyprus, North Korea, Georgia, India, Indonesia, Iran, Iraq, Israel, Japan, Jordan, Kazakhstan, Kuwait, Kyrgyzstan, Laos, Lebanon, Malaysia, Maldives, Mongolia, Myanmar, Nepal, Oman, Pakistan, Philippines, Qatar, South Korea, Saudi Arabia, Singapore, Sri Lanka, Palestine, Syria, Tajikistan, Thailand, East Timor, Turkey, Turkmenistan, United Arab Emirates, Uzbekistan, Vietnam, Yemen, Algeria, Angola, Benin, Botswana, British Indian Ocean Territory, Burkina Faso, Burundi, Cape Verde, Cameroon, Central African Republic, Chad, Comoros, Congo, Ivory Coast, Democratic Republic of the Congo, Djibouti, Egypt, Equatorial Guinea, Eritrea, Eswatini, Ethiopia, French Southern Territories, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Lesotho, Liberia, Libya, Madagascar, Malawi, Mali, Mauritania, Mauritius, Mayotte, Morocco, Mozambique, Namibia, Niger, Nigeria, Réunion, Rwanda, Saint Helena, Sao Tome and Principe, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, South Sudan, Sudan, Togo, Tunisia, Uganda, United Republic of Tanzania, Western Sahara, Zambia, Zimbabwe"
43,"India, Sri Lanka, Malaysia, Oceania","Croton, Joseph's coat","  Codiaeum variegatum, [syn] Croton variegatum",Height 3 ft.,Toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/Codiaeum_Variegatum.png,"Temperatures between 65-80ºF (18-27ºC) are ideal, and no lower than 60ºF (15ºC). Avoid cold drafts from near windows and doors.",174.99,6.95,61.48,"India, Sri Lanka, Malaysia, American Samoa, Australia, Christmas Island, Cocos (Keeling) Islands, Cook Islands, Fiji, French Polynesia, Guam, Heard Island and McDonald Islands, Kiribati, Marshall Islands, Federated States of Micronesia, Nauru, New Caledonia, New Zealand, Niue, Norfolk Island, Northern Mariana Islands, Palau, Papua New Guinea, Pitcairn Islands, Samoa, Solomon Islands, Tokelau, Tonga, Tuvalu, United States Minor Outlying Islands, Vanuatu, Wallis and Futuna"
44,Caribbean,Dumb cane,  Dieffenbachia Amoena,Height 6ft.,Seriously toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/dumb_cane_plant.jpg,"Dieffenbachia amoena grows best when the temperature it is exposed to is between 65-75 ºF (18-23 ºC). Outside of this temperature zone, growth will continue at a greatly reduced rate, with tolerance extremes ranging from 40-90 ºF (4-35 ºC) Beyond these extremes, the plant will stop growing and may die with prolonged exposure.",74.99,6.0,31.02,"Anguilla, Antigua and Barbuda, Aruba, The Bahamas, Barbados, Bonaire, British Virgin Islands, Cayman Islands, Cuba, Curaçao, Dominica, Dominican Republic, Grenada, Guadeloupe, Haiti, Jamaica, Martinique, Montserrat, Puerto Rico, Saint Barthélemy, Saint Kitts and Nevis, Saint Lucia, Saint Martin, Saint Vincent and the Grenadines, Sint Maarten (Dutch part), Trinidad and Tobago, Turks and Caicos Islands, United States Virgin Islands"
45,South-eastern Asia,Elephant's ear - Alocasia polly - African mask, Alocasia Amazonica,Height 1 - 2 ft .,Toxic for cats and dogs.,https://www.houseplantsexpert.com/image-files/elephants_ear_plant.jpg,Told you that you was going to need to keep this plant warm. Ideal temperatures should be approximately 65-75ºF + (18-24ºC +)...closer to 70ºF is best.,67.85,14.99,30.41,"Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Philippines, Singapore, Thailand, East Timor, Vietnam"
46,Southern Europe,"European fan, Mediterranean dwarf palm, and Dwarf fan palm", Chamaerops humilis,"4ft tall and 3ft spread, small tree (much more outdoors).",Not known.,https://www.houseplantsexpert.com/image-files/european-fan.jpg,Average room temperatures are fine. This a cold hardy palm and will not have a problem in temperatures as low as 40ºF (4ºC).,68.0,8.53,18.8,"Albania, Andorra, Bosnia and Herzegovina, Croatia, Gibraltar, Greece, Holy See, Italy, Malta, Montenegro, Macedonia, Portugal, San Marino, Republic of Serbia, Slovenia, Spain"
47,Western Africa,Fiddle leaf fig tree,"  Ficus lyrata, [syn] Ficus pandurata",Height 10ft (3m). ,"Toxic to cats, dogs and horses.",https://www.houseplantsexpert.com/image-files/ficus_lyrata2.png,Temperature:Temperatures between 60 - 75F (15 - 24C are suitable. Avoid lower than 55F (12C).,290.0,23.96,67.23,"Benin, Burkina Faso, Cape Verde, Ivory Coast, Gambia, Ghana, Guinea, Guinea-Bissau, Liberia, Mali, Mauritania, Niger, Nigeria, Saint Helena, Senegal, Sierra Leone, Togo"
